id,area,name,shortName,tla,crestUrl,address,phone,website,email,founded,clubColors,venue,lastUpdated
512,"{'id': 2081, 'name': 'France'}",Stade Brestois 29,Brest,SBR,https://crests.football-data.org/512.svg,"Port de Plaisance, 470 bis rue Alain Colas Brest 29200",+33 (0298) 022030,http://www.stade-brestois.com,daniel.leroux.sb29@hotmail.fr,1903,White / Red,Stade Francis-Le Blé,2021-02-06T18:01:15Z
516,"{'id': 2081, 'name': 'France'}",Olympique de Marseille,Marseille,OM,https://crests.football-data.org/516.svg,"La Commanderie, 33, traverse de La Martine Marseille 13012",+33 (049) 1765609,http://www.om.net,om@olympiquedemarseille.com,1898,White / Blue,Orange Vélodrome,2021-02-06T18:01:21Z
518,"{'id': 2081, 'name': 'France'}",Montpellier Hérault SC,Montpellier,MON,https://crests.football-data.org/518.svg,Domaine de Grammont CS 79041 Montpellier 34967,+33 (0467) 154600,http://www.mhscfoot.com,accueil@mhscfoot.com,1970,Blue / Orange,Stade de la Mosson,2021-02-06T18:01:27Z
521,"{'id': 2081, 'name': 'France'}",L,Lille,LIL,https://crests.football-data.org/521.svg,"Grand Rue 59, 780 Camphin-en-Pévèle Lille null",+33 (0892) 685672,http://www.losc.fr,losclillemetropole.500054@ligue59-62.fr,1944,White / Red,Stade Pierre-Mauroy,2021-02-06T18:01:32Z
522,"{'id': 2081, 'name': 'France'}",OGC Nice,Nice,NIC,https://crests.football-data.org/522.png,"35, avenue du Ray Nice 06100",+33 (089) 2700238,http://www.ogcnice.com,ogcnice.association@orange.fr,1904,Red / Black,Stade de Nice,2021-11-06T13:30:54Z
523,"{'id': 2081, 'name': 'France'}",Olympique Lyonnais,Olympique Lyon,LYO,https://crests.football-data.org/523.svg,350 avenue Jean Jaurès Lyon 69007,+33 (0426) 296532,http://www.olweb.fr,olympique-lyonnais@lrafoot.org,1896,White / Red / Blue,Groupama Stadium,2021-02-06T18:01:36Z
524,"{'id': 2081, 'name': 'France'}",Paris Saint-Germain,PSG,PSG,https://crests.football-data.org/524.svg,"24, rue de Commandant Guibaud Paris 7501",+33 (0139) 733467,http://www.psg.fr,communaute@psg.fr,1904,Red / Blue / White,Parc des Princes,2021-04-13T20:00:33Z
525,"{'id': 2081, 'name': 'France'}",FC Lorient,Lorient,FCL,https://crests.football-data.org/525.svg,"Tade Yves Allainmat<br>Rue Du Tour Des Portes, BP 404 Lorient 56104",+33 (0297) 351500,http://www.fclweb.fr,webmaster@fclweb.fr,1926,Orange / Black,Stade Yves Allainmat - Le Moustoir,2021-02-06T18:01:39Z
526,"{'id': 2081, 'name': 'France'}",FC Girondins de Bordeaux,Bordeaux,BOR,https://crests.football-data.org/526.svg,"Rue Joliot-Curie, Le Haillan Bordeaux 33185",+33 (0556) 161122,http://www.girondins.com,cberteau@girondins.com,1881,Blue / White,Stade Matmut-Atlantique,2021-02-06T18:01:40Z
527,"{'id': 2081, 'name': 'France'}",AS Saint-Étienne,Saint-Étienne,STE,https://crests.football-data.org/527.png,11 rue de Verdun L'Étrat 42580,+33 (0477) 929899,http://www.asse.fr,asse@lrafoot.org,1919,Green / White,Stade Geoffroy-Guichard,2021-11-06T13:26:01Z
529,"{'id': 2081, 'name': 'France'}",Stade Rennais FC,Stade Rennais,REN,https://crests.football-data.org/529.svg,La Piverdière - Chemin de la Taupinais CS 5390 Rennes 35039,+33 (0820) 000035,http://www.staderennais.com,4500015@footlbf.fr,1901,Red / Black,Roazhon Park,2021-02-06T18:01:47Z
531,"{'id': 2081, 'name': 'France'}",ESTAC Troyes,Troyes,ETR,https://crests.football-data.org/531.svg,29bis Rue Saint-Exupéry Pont-Sainte-Marie 10158,+33 (0325) 704830,http://www.estac.fr,contact@estac.fr,1986,Blue / White,Stade de l'Aube,2021-02-06T18:01:51Z
532,"{'id': 2081, 'name': 'France'}",Angers SCO,Angers SCO,ANG,https://crests.football-data.org/532.svg,"73 boulevard Jacques Portet, BP 20212 Angers 49002",+33 (0892) 390820,http://www.angers-sco.fr,,1919,Black / White / Gold,Stade Raymond Kopa,2021-02-06T18:01:53Z
541,"{'id': 2081, 'name': 'France'}",Clermont Foot 63,Clermont Foot,CLF,https://crests.football-data.org/541.svg,Rue Adrien Mabrut Clermont-Ferrand 63100,+33 (0473) 257902,http://www.clermontfoot.com,accueilclub@clermont-foot.fr,1911,Red / Blue,Stade Gabriel Montpied,2021-04-14T07:58:21Z
543,"{'id': 2081, 'name': 'France'}",FC Nantes,Nantes,NAN,https://crests.football-data.org/543.svg,"Centre Sportif José Arribas, La Jonelière Nantes 44240",+33 (0892) 707937,http://www.fcnantes.com,contact@fcnantes.com,1943,Green / Yellow,Stade de la Beaujoire - Louis Fonteneau,2021-02-06T18:02:04Z
545,"{'id': 2081, 'name': 'France'}",FC Metz,FC Metz,FCM,https://crests.football-data.org/545.svg,"3, allée Saint Symphonien, BP 40292 Metz 5700",+33 (0387) 667215,http://www.fcmetz.com,communication@fcmetz.com,1919,Red / Blue,Stade Saint-Symphorien,2021-02-06T18:02:10Z
546,"{'id': 2081, 'name': 'France'}",Racing Club de Lens,RC Lens,RCL,https://crests.football-data.org/546.svg,33 rue Arthur Lamendin Avion 62210,+33 (0321) 132132,http://www.rclens.fr,lhochart@rclens.fr,1906,Red / Yellow,Stade Bollaert-Delelis,2021-02-06T18:02:12Z
547,"{'id': 2081, 'name': 'France'}",Stade de Reims,Stade de Reims,SDR,https://crests.football-data.org/547.svg,26 rue Robert-Fulton Reims 51100,+33 (0891) 024933,http://www.stade-de-reims.com,contact@stade-de-reims.com,1909,Red / White / Cyan,Stade Auguste-Delaune II,2021-02-06T18:02:13Z
548,"{'id': 2152, 'name': 'Monaco'}",AS Monaco,Monaco,ASM,https://crests.football-data.org/548.png,Avenue des Castellans Monaco 98000,+33 (377) 92057473,http://www.asmonaco.com,,1919,Red / White,Stade Louis II.,2021-11-06T13:27:09Z
576,"{'id': 2081, 'name': 'France'}",RC Strasbourg Alsace,Strasbourg,RCS,https://crests.football-data.org/576.svg,12 Rue Extenwoerth Strasbourg 67000,,http://www.rcstrasbourgalsace.fr,,1906,Blue / White,Stade de la Meinau,2021-02-06T18:02:25Z
